Tue Dec 14 20:58:20 EST 2021
Predicting price movement for: 2021-12-14
Loading word weights
['-', 'ads', '0.0', '11', '22']
['-', 'and', '0.0', '22', '22']
['-', 'alternatives', '0.0', '11', '0']
['-', 'according', '0.0', '11', '0']
['-', 'asset', '0.0', '22', '0']
['-', 'activision', '0.0', '22', '0']
['-', 'amd', '0.0', '22', '0']
['-', 'after', '0.0', '22', '0']
['-', 'ahead', '0.0', '11', '0']
['-', 'apple', '0.0', '11', '0']
['-', 'augmented', '0.0', '11', '0']
['-', 'advantage', '0.0', '22', '22']
['-', 'all', '0.0', '11', '22']
['-', 'arm', '0.0', '11', '22']
['-', 'announces', '0.0', '11', '22']
['-', 'availability', '0.0', '11', '22']
['-', 'advisers', '0.0', '11', '0']
['-', 'buys', '0.0', '121', '110']
['-', 'biggest', '0.0', '11', '22']
['-', 'bill', '0.0', '11', '22']
['-', 'baxter', '0.0', '11', '22']
['-', 'buyback', '0.0', '11', '0']
['-', 'boost', '0.0', '11', '0']
['-', 'bitcoin', '0.0', '11', '0']
['-', 'buy', '0.0', '55', '22']
['-', 'billionaire', '0.0', '11', '0']
['-', 'business', '0.0', '22', '0']
['-', 'blizzard', '0.0', '22', '0']
['-', 'beat', '0.0', '11', '0']
['-', 'booking', '0.0', '11', '22']
['-', 'blackrock', '0.0', '11', '22']
['-', 'band', '0.0', '11', '22']
['-', 'beach', '0.0', '11', '22']
['-', 'bumblebee', '0.0', '11', '22']
['-', 'croci', '0.0', '44', '44']
['-', 'climbed', '0.0', '11', '22']
['-', 'calls', '0.0', '11', '22']
['-', 'choice', '0.0', '11', '22']
['-', 'capital', '0.0', '11', '22']
['-', 'companies', '0.0', '33', '22']
['-', 'continue', '0.0', '11', '0']
['-', 'cheap', '0.0', '11', '0']
['-', 'cohen', '0.0', '11', '0']
['-', 'charts', '0.0', '11', '0']
['-', 'corp', '0.0', '33', '22']
['-', 'chipmaker', '0.0', '11', '0']
['-', 'citi', '0.0', '11', '0']
['-', 'cap', '0.0', '11', '22']
['-', 'could', '0.0', '11', '22']
['-', 'concludes', '0.0', '11', '22']
['-', 'dws', '0.0', '44', '44']
['-', 'determine', '0.0', '11', '22']
['-', 'dow', '0.0', '44', '0']
['-', 'drops', '0.0', '11', '0']
['-', 'drive', '0.0', '11', '0']
['-', 'deployment', '0.0', '11', '22']
['-', 'etfs', '0.0', '22', '22']
['-', 'environmentally', '0.0', '11', '0']
['-', 'entire', '0.0', '11', '0']
['-', 'earnings', '0.0', '22', '22']
['-', 'expects', '0.0', '11', '0']
['-', 'elon', '0.0', '11', '0']
['-', 'for', '0.0', '44', '66']
['-', 'fund', '0.0', '55', '44']
['-', 'future', '0.0', '11', '22']
['-', 'friendly', '0.0', '11', '0']
['-', 'futures', '0.0', '22', '0']
['-', 'fall', '0.0', '11', '0']
['-', 'fed', '0.0', '44', '0']
['-', 'fix', '0.0', '11', '0']
['-', 'falls', '0.0', '11', '0']
['-', 'fresh', '0.0', '11', '22']
['-', 'great', '0.0', '22', '44']
['-', 'glenview', '0.0', '11', '22']
['-', 'growth', '0.0', '11', '0']
['-', 'guidance', '0.0', '11', '0']
['-', 'gamble', '0.0', '22', '44']
['-', 'gartner', '0.0', '11', '0']
['-', 'holdings', '0.0', '55', '66']
['-', 'heavyweight', '0.0', '11', '0']
['-', 'hot', '0.0', '33', '0']
['-', 'has', '0.0', '11', '22']
['-', 'high', '0.0', '22', '44']
['-', 'harmonic', '0.0', '11', '22']
['-', 'hlit', '0.0', '11', '22']
['-', 'hits', '0.0', '11', '22']
['-', 'hear', '0.0', '11', '22']
