Wed Dec 15 12:30:53 EST 2021
Predicting price movement for: 2021-12-15
Loading word weights
['-', 'ads', '0.0', '12', '24']
['-', 'and', '0.0', '24', '24']
['-', 'alternatives', '0.0', '12', '0']
['-', 'according', '0.0', '12', '0']
['-', 'asset', '0.0', '24', '0']
['-', 'activision', '0.0', '24', '0']
['-', 'amd', '0.0', '24', '0']
['-', 'after', '0.0', '24', '0']
['-', 'ahead', '0.0', '12', '0']
['-', 'apple', '0.0', '12', '0']
['-', 'augmented', '0.0', '12', '0']
['-', 'advantage', '0.0', '24', '24']
['-', 'all', '0.0', '12', '24']
['-', 'arm', '0.0', '12', '24']
['-', 'announces', '0.0', '12', '24']
['-', 'availability', '0.0', '12', '24']
['-', 'advisers', '0.0', '12', '0']
['-', 'buys', '0.0', '132', '120']
['-', 'biggest', '0.0', '12', '24']
['-', 'bill', '0.0', '12', '24']
['-', 'baxter', '0.0', '12', '24']
['-', 'buyback', '0.0', '12', '0']
['-', 'boost', '0.0', '12', '0']
['-', 'bitcoin', '0.0', '12', '0']
['-', 'buy', '0.0', '60', '24']
['-', 'billionaire', '0.0', '12', '0']
['-', 'business', '0.0', '24', '0']
['-', 'blizzard', '0.0', '24', '0']
['-', 'beat', '0.0', '12', '0']
['-', 'booking', '0.0', '12', '24']
['-', 'blackrock', '0.0', '12', '24']
['-', 'band', '0.0', '12', '24']
['-', 'beach', '0.0', '12', '24']
['-', 'bumblebee', '0.0', '12', '24']
['-', 'croci', '0.0', '48', '48']
['-', 'climbed', '0.0', '12', '24']
['-', 'calls', '0.0', '12', '24']
['-', 'choice', '0.0', '12', '24']
['-', 'capital', '0.0', '12', '24']
['-', 'companies', '0.0', '36', '24']
['-', 'continue', '0.0', '12', '0']
['-', 'cheap', '0.0', '12', '0']
['-', 'cohen', '0.0', '12', '0']
['-', 'charts', '0.0', '12', '0']
['-', 'corp', '0.0', '36', '24']
['-', 'chipmaker', '0.0', '12', '0']
['-', 'citi', '0.0', '12', '0']
['-', 'cap', '0.0', '12', '24']
['-', 'could', '0.0', '12', '24']
['-', 'concludes', '0.0', '12', '24']
['-', 'dws', '0.0', '48', '48']
['-', 'determine', '0.0', '12', '24']
['-', 'dow', '0.0', '48', '0']
['-', 'drops', '0.0', '12', '0']
['-', 'drive', '0.0', '12', '0']
['-', 'deployment', '0.0', '12', '24']
['-', 'etfs', '0.0', '24', '24']
['-', 'environmentally', '0.0', '12', '0']
['-', 'entire', '0.0', '12', '0']
['-', 'earnings', '0.0', '24', '24']
['-', 'expects', '0.0', '12', '0']
['-', 'elon', '0.0', '12', '0']
['-', 'for', '0.0', '48', '72']
['-', 'fund', '0.0', '60', '48']
['-', 'future', '0.0', '12', '24']
['-', 'friendly', '0.0', '12', '0']
['-', 'futures', '0.0', '24', '0']
['-', 'fall', '0.0', '12', '0']
['-', 'fed', '0.0', '48', '0']
['-', 'fix', '0.0', '12', '0']
['-', 'falls', '0.0', '12', '0']
['-', 'fresh', '0.0', '12', '24']
['-', 'great', '0.0', '24', '48']
['-', 'glenview', '0.0', '12', '24']
['-', 'growth', '0.0', '12', '0']
['-', 'guidance', '0.0', '12', '0']
['-', 'gamble', '0.0', '24', '48']
['-', 'gartner', '0.0', '12', '0']
['-', 'holdings', '0.0', '60', '72']
['-', 'heavyweight', '0.0', '12', '0']
['-', 'hot', '0.0', '36', '0']
