Thu Dec 16 09:40:03 EST 2021
Predicting price movement for: 2021-12-16
Loading word weights
['-', 'ads', '0.0', '12', '24']
['-', 'and', '0.0', '28', '24']
['-', 'alternatives', '0.0', '12', '0']
['-', 'according', '0.0', '12', '0']
['-', 'asset', '0.0', '24', '0']
['-', 'activision', '0.0', '24', '0']
['-', 'amd', '0.0', '28', '0']
['-', 'after', '0.0', '26', '0']
['-', 'ahead', '0.0', '12', '0']
['-', 'apple', '0.0', '12', '0']
['-', 'augmented', '0.0', '12', '0']
['-', 'advantage', '0.0', '24', '24']
['-', 'all', '0.0', '13', '24']
['-', 'arm', '0.0', '12', '24']
['-', 'announces', '0.0', '12', '24']
['-', 'availability', '0.0', '12', '24']
['-', 'advisers', '0.0', '12', '0']
['-', 'adobe', '0.0', '1', '0']
['-', 'adbe', '0.0', '1', '0']
['-', 'advanced', '0.0', '4', '0']
['-', 'accommodative', '0.0', '1', '0']
['-', 'acquire', '0.0', '1', '0']
['-', 'amon', '0.0', '1', '0']
['-', 'adds', '0.0', '2', '0']
['-', 'again', '0.0', '1', '0']
['-', 'app', '0.0', '1', '0']
['-', 'amazon', '0.0', '1', '0']
['-', 'amzn', '0.0', '1', '0']
['-', 'asia', '0.0', '1', '0']
['-', 'aws', '0.0', '1', '0']
['-', 'amat', '0.0', '1', '0']
['-', 'among', '0.0', '1', '0']
['-', 'buys', '0.0', '137', '120']
['-', 'biggest', '0.0', '12', '24']
['-', 'bill', '0.0', '12', '24']
['-', 'baxter', '0.0', '12', '24']
['-', 'buyback', '0.0', '12', '0']
['-', 'boost', '0.0', '12', '0']
['-', 'bitcoin', '0.0', '12', '0']
['-', 'buy', '0.0', '64', '24']
['-', 'billionaire', '0.0', '12', '0']
['-', 'business', '0.0', '24', '0']
['-', 'blizzard', '0.0', '24', '0']
['-', 'beat', '0.0', '12', '0']
['-', 'booking', '0.0', '12', '24']
['-', 'blackrock', '0.0', '12', '24']
['-', 'band', '0.0', '12', '24']
['-', 'beach', '0.0', '12', '24']
['-', 'bumblebee', '0.0', '12', '24']
['-', 'base', '0.0', '1', '0']
['-', 'banks', '0.0', '1', '0']
['-', 'bans', '0.0', '1', '0']
['-', 'blink', '0.0', '1', '0']
['-', 'balanced', '0.0', '1', '0']
['-', 'before', '0.0', '1', '0']
['-', 'boosts', '0.0', '1', '0']
['-', 'best', '0.0', '1', '0']
['-', 'croci', '0.0', '48', '48']
['-', 'climbed', '0.0', '12', '24']
['-', 'calls', '0.0', '12', '24']
['-', 'choice', '0.0', '12', '24']
['-', 'capital', '0.0', '12', '24']
