Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,147.970001,149.339996,144.710007,146.190002,145.917007,1682200
2020-12-09,145.630005,148.800003,140.539993,141.399994,141.135956,2540000
2020-12-10,140.750000,144.919998,140.309998,143.860001,143.591370,1969200
2020-12-11,143.699997,144.970001,141.460007,143.830002,143.561417,1120900
2020-12-14,144.610001,149.970001,144.320007,149.029999,148.751709,2709400
2020-12-15,150.979996,154.119995,149.610001,152.110001,151.825958,3142100
2020-12-16,151.860001,152.789993,149.889999,151.750000,151.466629,1564800
2020-12-17,152.649994,153.539993,150.850006,151.860001,151.576431,1275400
2020-12-18,152.250000,153.029999,146.789993,149.190002,148.911407,4584100
2020-12-21,146.800003,148.059998,141.699997,145.279999,145.008713,1799300
2020-12-22,145.309998,145.470001,141.130005,144.160004,143.890808,1899900
2020-12-23,144.050003,144.119995,141.740005,141.990005,141.724854,1766400
2020-12-24,143.139999,143.559998,141.440002,141.990005,141.724854,1167500
2020-12-28,144.080002,144.339996,140.809998,141.520004,141.255737,1978500
2020-12-29,141.949997,143.320007,138.559998,139.899994,139.638748,1489900
2020-12-30,140.279999,143.360001,139.529999,142.100006,141.834656,2892600
2020-12-31,142.100006,142.589996,140.070007,141.770004,141.505264,1236100
2021-01-04,142.229996,149.259995,141.199997,142.429993,142.164032,2416500
2021-01-05,142.289993,144.339996,141.270004,144.229996,143.960663,2617500
2021-01-06,141.979996,144.729996,138.830002,141.220001,140.956299,3342100
2021-01-07,142.660004,150.009995,142.449997,149.710007,149.430450,2597800
2021-01-08,150.449997,151.419998,146.809998,147.990005,147.713654,2856600
2021-01-11,147.779999,154.929993,146.610001,151.080002,150.797882,4429300
2021-01-12,151.940002,153.509995,145.119995,146.669998,146.396118,5917400
2021-01-13,143.350006,145.110001,140.080002,141.169998,140.906387,3587400
2021-01-14,141.389999,141.770004,138.729996,140.000000,139.738571,3665200
2021-01-15,139.570007,141.259995,136.149994,136.600006,136.344925,2280200
2021-01-19,138.360001,139.470001,135.880005,139.360001,139.099762,3309600
2021-01-20,140.009995,141.550003,137.850006,138.000000,137.742310,4637400
2021-01-21,138.779999,142.360001,137.509995,141.160004,140.896408,3362800
2021-01-22,145.529999,148.320007,141.979996,142.940002,142.673080,3102600
2021-01-25,145.229996,148.100006,141.309998,145.139999,144.868973,2500000
2021-01-26,146.389999,146.979996,143.820007,144.389999,144.120377,3265700
2021-01-27,140.119995,140.119995,130.809998,133.860001,133.610031,3996800
2021-01-28,137.050003,137.190002,133.029999,133.570007,133.320587,2457500
2021-01-29,132.710007,134.710007,129.570007,130.570007,130.326187,2754100
2021-02-01,132.440002,135.639999,130.309998,135.309998,135.057327,2826800
2021-02-02,136.699997,137.910004,134.699997,137.309998,137.053589,4443800
2021-02-03,137.479996,138.509995,135.110001,135.389999,135.137177,2965200
2021-02-04,135.520004,136.660004,134.220001,136.279999,136.025513,1240500
2021-02-05,137.000000,137.369995,134.830002,136.479996,136.225143,1917800
2021-02-08,136.880005,142.800003,136.750000,141.429993,141.165894,2662600
2021-02-09,141.210007,142.940002,140.250000,140.850006,140.586990,1536000
2021-02-10,142.250000,144.470001,140.119995,143.149994,142.882675,2189000
2021-02-11,144.149994,145.100006,141.550003,144.199997,143.930725,1615800
2021-02-12,143.839996,146.169998,143.160004,145.750000,145.477829,1529600
2021-02-16,145.750000,145.750000,141.320007,142.580002,142.313751,1654200
2021-02-17,140.850006,141.630005,137.550003,139.320007,139.059845,1592800
2021-02-18,137.949997,138.550003,135.350006,137.559998,137.303131,1171500
2021-02-19,138.779999,140.089996,137.699997,138.710007,138.450989,1812200
2021-02-22,136.509995,136.630005,131.039993,131.289993,131.044830,2120000
2021-02-23,129.020004,131.440002,122.110001,130.350006,130.106598,2868100
2021-02-24,129.190002,134.089996,127.199997,133.809998,133.560120,3820700
2021-02-25,131.490005,133.830002,124.589996,125.660004,125.425354,2877100
2021-02-26,128.169998,131.500000,126.589996,130.300003,130.056686,2488900
2021-03-01,131.529999,133.970001,129.470001,133.789993,133.540161,2156200
2021-03-02,134.410004,134.410004,129.820007,129.949997,129.707336,1726400
2021-03-03,129.720001,129.960007,123.489998,123.510002,123.279366,2448300
2021-03-04,123.000000,125.099998,116.459999,117.120003,116.901299,4423000
2021-03-05,119.980003,120.379997,111.839996,119.949997,119.726006,2842100
2021-03-08,119.500000,120.139999,112.010002,112.089996,111.880684,2506400
2021-03-09,116.059998,121.279999,115.459999,120.279999,120.055397,3035600
2021-03-10,121.910004,122.489998,118.529999,118.739998,118.518265,1755600
2021-03-11,122.019997,127.059998,121.760002,126.089996,125.854538,3624700
2021-03-12,123.050003,125.769997,122.870003,125.449997,125.215736,1450700
2021-03-15,126.739998,128.869995,125.750000,128.619995,128.379822,2254700
2021-03-16,130.059998,132.320007,128.350006,129.179993,128.938766,2264300
2021-03-17,127.489998,130.330002,125.400002,129.190002,128.948761,1936700
2021-03-18,126.089996,127.300003,121.459999,122.250000,122.021713,2740100
2021-03-19,122.629997,123.849998,120.720001,122.879997,122.650536,6379300
2021-03-22,124.169998,127.059998,123.230003,125.349998,125.115929,2697400
