AMD,time
144.3,12/8/21 8:30
146.31,12/8/21 8:45
144,12/8/21 9:00
143.66,12/8/21 9:15
144.38,12/8/21 9:30
144.35,12/8/21 9:45
144.21,12/8/21 10:00
144.88,12/8/21 10:15
145.52,12/8/21 10:30
144.88,12/8/21 10:45
145.09,12/8/21 11:00
145.05,12/8/21 11:15
144.57,12/8/21 11:30
144.93,12/8/21 11:45
144.8,12/8/21 12:00
145.35,12/8/21 12:15
145.08,12/8/21 12:30
144.88,12/8/21 12:45
144.87,12/8/21 13:00
144.69,12/8/21 13:15
144.29,12/8/21 13:30
144.32,12/8/21 13:45
144.53,12/8/21 14:00
144.38,12/8/21 14:16
144.57,12/8/21 14:31
144.23,12/8/21 14:45
145.24,12/8/21 15:01
,
,
,
,
,
,
,
,
,
,
,
