FB,time
324.82,12/8/21 8:30
325.2,12/8/21 8:45
326.85,12/8/21 9:00
328.72,12/8/21 9:15
331.55,12/8/21 9:30
330.81,12/8/21 9:45
331.23,12/8/21 10:00
330.48,12/8/21 10:15
332.43,12/8/21 10:30
332.71,12/8/21 10:45
332.54,12/8/21 11:00
332.13,12/8/21 11:15
331.44,12/8/21 11:30
331.89,12/8/21 11:45
331.28,12/8/21 12:00
330.43,12/8/21 12:15
330.83,12/8/21 12:30
331.61,12/8/21 12:45
330.58,12/8/21 13:00
330.36,12/8/21 13:15
331.02,12/8/21 13:30
331.28,12/8/21 12:48
331.27,12/8/21 13:45
331.58,12/8/21 14:00
331.71,12/8/21 14:16
331.93,12/8/21 14:31
331.21,12/8/21 14:45
330.56,12/8/21 15:01
,
,
,
,
,
,
,
,
,
,
,
